Kokalis, T. => Kokalis, T.
Korb, K. => Korb, Kevin
Kosslyn, S. M => Kosslyn, Stephen M
Kosslyn, S. M. => Kosslyn, Stephen M.
Kraay, K. J. => Kraay, K. J.
Kraut, R. => Kraut, R.
Krebs, V. => Krebs, V.
Krellenstein, M. F. => Krellenstein, M. F.
Krikorian, Y. H => Krikorian, Y. H
Krikorian, Y. H. => Krikorian, Y. H.
Kripke, S. A. => Kripke, Saul A.
Kuczynski, J. => Kuczynski, J.
Kuczynski, J. M. => Kuczynski, J. M.
Kuhberger, A. => Kuhberger, A.
Kukla, A. => Kukla, Andre
Kulkarni, N. G => Kulkarni, N. G
Kurtzman, H. S. => Kurtzman, H. S.
Laakso, A. => Laakso, Aarre
Lacey, A. R => Lacey, A. R
Lachter, J. => Lachter, Joel
Lalor, B. J. => Lalor, Brendan J.
Lamb, J. W. => Lamb, J. W.
Landers, S. => Landers, S.
LaRock, E. => LaRock, Eric
Larson, E. => Larson, E.
Laurie, S. S. => Laurie, S. S.
Lebar, M. => Lebar, Mark
Lee, B. D. => Lee, B. D.
Lee, B. => Lee, B.
Lee, E. T. => Lee, E. T.
Lee, G. => Lee, G.
Lee, J. R. E. => Lee, J. R. E.
Lee, M. => Lee, M.
Legg, C. R. => Legg, Catherine R.
Leich, C. => Leich, C.
Leingruber, R. => Leingruber, R.
Lemaire, S. => Lemaire, S.
Lemos, R. M => Lemos, R. M
Lenzen, V. F. => Lenzen, V. F.
Leonard, D. => Leonard, D.
Leon, M. . => Leon, Marc
Leslie, A. M. => Leslie, Alan M.
Levi, M. => Levi, M.
Levine, A. => Levine, A.
Levine, J. => Levine, Joseph
Levin, J. => Levin, Janet
Levin, M. => Levin, M.
Levy, D. => Levy, D.
Lewis, A. => Lewis, A.
Lewis, C. I => Lewis, C. I
Lewis, D. => Lewis, David
Lewis, H. D => Lewis, H. D
Lewis, H. => Lewis, H.
Lindahl, B. I. B. => Lindahl, B. I. B.
Livingston, P. => Livingston, Paul
Lizza, J. P. => Lizza, J. P.
Llewelyn, J. E => Llewelyn, J. E
Lloyd, A. C => Lloyd, A. C
Lloyd, E. A. => Lloyd, E. A.
Lloyd Morgan, C. => Lloyd Morgan, C.
Logan, J. D. => Logan, J. D.
Logue, H. => Logue, Heather
Long, D. C => Long, D. C
Long, T. A => Long, T. A
Lonky, M. => Lonky, M.
Loren, L. A. => Loren, L. A.
Louch, A. R => Louch, A. R
Loveday, T. => Loveday, T.
Lowe, E. J => Lowe, E. J
Lowe, E. J. => Lowe, E. J.
Lund, D. H. => Lund, D. H.
Lurie, Y. => Lurie, Y.
Lycos, K. => Lycos, K.
Lynch, M. P. => Lynch, Michael P.
Lyngzeidetson, A. E. => Lyngzeidetson, A. E.
Lyons, J. => Lyons, J.
Mabbott, J. D => Mabbott, J. D
MacAogain, E. => MacAogain, E.
Macdonald, C. => Macdonald, Cynthia
MacDonald, C. => Macdonald, Cynthia
Macdonald, G. F => Macdonald, G. F
Mace, C. A => Mace, C. A
Mace, C. A. => Mace, C. A.
Mace, C. D => Mace, C. D
Mace, W. M. => Mace, W. M.
Machina, K. => Machina, K.
Mackay, D. S => Mackay, D. S
Mackenzie, J. D => Mackenzie, J. D
MacKenzie, J. S. => MacKenzie, J. S.
Mackenzie, W. L. => Mackenzie, W. L.
Mackintosh, N. J => Mackintosh, N. J
Maclachlan, D. L C. => Maclachlan, D. L C.
Maclachlan, D. L. C. => Maclachlan, D. L. C.
Maclennan, B. => Maclennan, B.
MaCrae, V. => MaCrae, V.
Maglio, P. => Maglio, P.
Maher, B. A. => Maher, B. A.
Maibom, H. L. => Maibom, Heidi L.
Malinas, G. A => Malinas, G. A
Maloney, C. => Maloney, J. Christopher
Malpas, J. E => Malpas, Jeffrey E
Mandelbaum, M. => Mandelbaum, M.
Mandelkar, S. => Mandelkar, S.
Manktelow, K. => Manktelow, K.
Manning, R. C. => Manning, R. C.
Mannison, D. S. => Mannison, D. S.
Manser, A. R => Manser, A. R
Marcello, G. => Marcello, G.
Margolis, J. => Margolis, Joseph
Mariano, L. B. => Mariano, L. B.
Mark Baldwin, J. => Mark Baldwin, J.
Markman, A. => Markman, Arthur
Marks, C. => Marks, Charles
Marks, L. E. => Marks, L. E.
